"strain","drug","StrainMean_NormLength","mean_NormLength","sd_NormLength","twoSD_pos","twoSD_neg","nice_drug_label2","big_class","moa_class","LowResponder","HighResponder"
"JU3128","Nickel dichloride",3.98406170682137,4.08997990215324,64.5529867163247,133.195953334803,-125.015993530496,"Nickel","Metal","Other|unknown",0,0
"JU3128","Paraquat_250",13.5996736574892,3.5612305407088,28.823154147461,61.2075388356309,-54.0850777542133,"Paraquat 250 µM","Herbicide","Redox disruption",0,0
"JU3128","Paraquat_62.5",70.5633220530088,-4.40347057181204,40.8606407299267,77.3178108880414,-86.1247520316655,"Paraquat 62.5 µM","Herbicide","Redox disruption",0,0
"JU3128","Propoxur",6.04906814379082,0.0163981092352304,18.4590721593118,36.9345424278589,-36.9017462093885,"Propoxur","Insecticide","AChE inhibition",0,0
"JU3128","Pyraclostrobin",24.6654838186602,2.87245923634161,29.7244082551688,62.3212757466792,-56.576357273996,"Pyraclostrobin","Fungicide","Redox disruption",0,0
"JU3128","Silver nitrate_250",29.0182588396447,4.762872938844,30.9542099501434,66.6712928391308,-57.1455469614428,"Silver 250 µM","Metal","Other|unknown",0,0
"JU3128","Silver nitrate_7.8",16.117065142817,0.300727690818528,18.0204279621692,36.3415836151568,-35.7401282335198,"Silver 7.8 µM","Metal","Other|unknown",0,0
"JU3128","Triphenyl phosphate_50",5.5089524051462,0.953639911324413,37.8710191715565,76.6956782544375,-74.7883984317887,"TPhP 50 µM","Flame Retardant","Other|unknown",0,0
"JU3128","Triphenyl phosphate_6.25",21.1221199107098,0.633238813957901,25.1791821639183,50.9916031417946,-49.7251255138788,"TPhP 6.25 µM","Flame Retardant","Other|unknown",0,0
"JU3128","Zinc dichloride",27.2253454081333,-0.410868990416501,18.8228656570518,37.2348623236871,-38.0566003045201,"Zinc","Metal","Other|unknown",0,0
"JU3132","2_4-D",75.5928614571581,0.297240680893414,34.3048980040383,68.90703668897,-68.3125553271832,"2,4-D","Herbicide","Other|unknown",1,0
"JU3132","Aldicarb",-63.9854668400692,-5.48069534679786,66.8955110996989,128.3103268526,-139.271717546196,"Aldicarb","Insecticide","AChE inhibition",0,0
"JU3132","Arsenic trioxide",-4.99556223989739,1.51754432587174,37.8236976208408,77.1649395675533,-74.1298509158098,"Arsenic","Metal","Redox disruption",0,0
"JU3132","Atrazine",-88.8600278215377,-0.449564132208347,30.1418764523697,59.8341887725311,-60.7333170369478,"Atrazine","Herbicide","Redox disruption",0,1
"JU3132","Cadmium dichloride",100.676412857018,0.59012551367972,40.8316675374654,82.2534605886105,-81.0732095612511,"Cadmium","Metal","Redox disruption",1,0
"JU3132","Carbaryl",-121.135134276401,-0.021581494171306,41.3518761645487,82.6821708349261,-82.7253338232687,"Carbaryl","Insecticide","AChE inhibition",0,1
"JU3132","Carboxin",-131.675325504715,-2.34575223270257,47.4918357609118,92.637919289121,-97.3294237545261,"Carboxin","Fungicide","Redox disruption",0,1
"JU3132","Chlorfenapyr",-23.1063465422117,-3.23816143792962,57.5317008232735,111.825240208617,-118.301563084477,"Chlorfenapyr","Insecticide","Redox disruption",0,0
"JU3132","Chlorothalonil",24.5995078682381,-0.192007455920102,23.6397289158149,47.0874503757096,-47.4714652875498,"Chlorothalonil","Fungicide","Redox disruption",0,0
"JU3132","Chlorpyrifos",-1.7160682801138,3.23510414151989,31.316415820647,65.867935782814,-59.3977274997742,"Chlorpyrifos","Insecticide","AChE inhibition",0,0
"JU3132","Copper chloride",105.738447299421,1.56509946618643,42.9320597169338,87.429218900054,-84.2990199676812,"Copper","Metal","Redox disruption",1,0
"JU3132","Lead nitrate",15.2119596771789,0.278492362231999,19.8697371921976,40.0179667466272,-39.4609820221632,"Lead","Metal","Redox disruption",0,0
"JU3132","Malathion",-2.24709851115132,-0.961847239793944,41.5336178680084,82.1053884962229,-84.0290829758108,"Malathion","Insecticide","AChE inhibition",0,0
"JU3132","Mancozeb",-31.4440105437855,2.10751094136049,20.0326672994109,42.1728455401823,-37.9578236574613,"Mancozeb","Fungicide","AChE inhibition",0,0
"JU3132","Methomyl",27.7604473185435,9.30914167690872,49.9834762191599,109.276094115229,-90.6578107614111,"Methomyl","Insecticide","AChE inhibition",0,0
"JU3132","Methyl mercury",-1.1359773929662,4.84256965590387,70.0528674962311,144.948304648366,-135.263165336558,"Mercury","Metal","Redox disruption",0,0
"JU3132","Nickel dichloride",49.2805549623582,4.08997990215324,64.5529867163247,133.195953334803,-125.015993530496,"Nickel","Metal","Other|unknown",0,0
"JU3132","Paraquat_250",37.8723447425115,3.5612305407088,28.823154147461,61.2075388356309,-54.0850777542133,"Paraquat 250 µM","Herbicide","Redox disruption",0,0
"JU3132","Paraquat_62.5",-93.2994402827454,-4.40347057181204,40.8606407299267,77.3178108880414,-86.1247520316655,"Paraquat 62.5 µM","Herbicide","Redox disruption",0,1
"JU3132","Propoxur",-6.06750644440068,0.0163981092352304,18.4590721593118,36.9345424278589,-36.9017462093885,"Propoxur","Insecticide","AChE inhibition",0,0
"JU3132","Pyraclostrobin",42.4243780823404,2.87245923634161,29.7244082551688,62.3212757466792,-56.576357273996,"Pyraclostrobin","Fungicide","Redox disruption",0,0
"JU3132","Silver nitrate_250",58.623546648907,4.762872938844,30.9542099501434,66.6712928391308,-57.1455469614428,"Silver 250 µM","Metal","Other|unknown",0,0
"JU3132","Silver nitrate_7.8",8.95838247616225,0.300727690818528,18.0204279621692,36.3415836151568,-35.7401282335198,"Silver 7.8 µM","Metal","Other|unknown",0,0
"JU3132","Triphenyl phosphate_50",28.8725964929628,0.953639911324413,37.8710191715565,76.6956782544375,-74.7883984317887,"TPhP 50 µM","Flame Retardant","Other|unknown",0,0
"JU3132","Triphenyl phosphate_6.25",9.3233576191413,0.633238813957901,25.1791821639183,50.9916031417946,-49.7251255138788,"TPhP 6.25 µM","Flame Retardant","Other|unknown",0,0
"JU3132","Zinc dichloride",19.7620390338991,-0.410868990416501,18.8228656570518,37.2348623236871,-38.0566003045201,"Zinc","Metal","Other|unknown",0,0
"JU3134","2_4-D",-13.3535121031238,0.297240680893414,34.3048980040383,68.90703668897,-68.3125553271832,"2,4-D","Herbicide","Other|unknown",0,0
"JU3134","Aldicarb",12.7707402299025,-5.48069534679786,66.8955110996989,128.3103268526,-139.271717546196,"Aldicarb","Insecticide","AChE inhibition",0,0
"JU3134","Arsenic trioxide",9.10765842676018,1.51754432587174,37.8236976208408,77.1649395675533,-74.1298509158098,"Arsenic","Metal","Redox disruption",0,0
"JU3134","Atrazine",-2.81209993860481,-0.449564132208347,30.1418764523697,59.8341887725311,-60.7333170369478,"Atrazine","Herbicide","Redox disruption",0,0
"JU3134","Cadmium dichloride",16.5709685082654,0.59012551367972,40.8316675374654,82.2534605886105,-81.0732095612511,"Cadmium","Metal","Redox disruption",0,0
"JU3134","Carbaryl",28.5669355062974,-0.021581494171306,41.3518761645487,82.6821708349261,-82.7253338232687,"Carbaryl","Insecticide","AChE inhibition",0,0
"JU3134","Carboxin",60.7745831382089,-2.34575223270257,47.4918357609118,92.637919289121,-97.3294237545261,"Carboxin","Fungicide","Redox disruption",0,0
"JU3134","Chlorothalonil",-27.5072784841475,-0.192007455920102,23.6397289158149,47.0874503757096,-47.4714652875498,"Chlorothalonil","Fungicide","Redox disruption",0,0
"JU3134","Copper chloride",40.176622387241,1.56509946618643,42.9320597169338,87.429218900054,-84.2990199676812,"Copper","Metal","Redox disruption",0,0
"JU3134","Lead nitrate",8.50708070530857,0.278492362231999,19.8697371921976,40.0179667466272,-39.4609820221632,"Lead","Metal","Redox disruption",0,0
"JU3134","Malathion",41.9890660708194,-0.961847239793944,41.5336178680084,82.1053884962229,-84.0290829758108,"Malathion","Insecticide","AChE inhibition",0,0
"JU3134","Mancozeb",18.8181710486135,2.10751094136049,20.0326672994109,42.1728455401823,-37.9578236574613,"Mancozeb","Fungicide","AChE inhibition",0,0
"JU3134","Methyl mercury",98.2250084594204,4.84256965590387,70.0528674962311,144.948304648366,-135.263165336558,"Mercury","Metal","Redox disruption",0,0
"JU3134","Nickel dichloride",10.0150091874992,4.08997990215324,64.5529867163247,133.195953334803,-125.015993530496,"Nickel","Metal","Other|unknown",0,0
"JU3134","Paraquat_250",36.2150070874843,3.5612305407088,28.823154147461,61.2075388356309,-54.0850777542133,"Paraquat 250 µM","Herbicide","Redox disruption",0,0
"JU3134","Propoxur",11.4861867269296,0.0163981092352304,18.4590721593118,36.9345424278589,-36.9017462093885,"Propoxur","Insecticide","AChE inhibition",0,0
"JU3134","Pyraclostrobin",14.580554296573,2.87245923634161,29.7244082551688,62.3212757466792,-56.576357273996,"Pyraclostrobin","Fungicide","Redox disruption",0,0
"JU3134","Silver nitrate_250",45.8621195979407,4.762872938844,30.9542099501434,66.6712928391308,-57.1455469614428,"Silver 250 µM","Metal","Other|unknown",0,0
"JU3134","Silver nitrate_7.8",-8.49409846162049,0.300727690818528,18.0204279621692,36.3415836151568,-35.7401282335198,"Silver 7.8 µM","Metal","Other|unknown",0,0
"JU3134","Triphenyl phosphate_50",32.2363561985767,0.953639911324413,37.8710191715565,76.6956782544375,-74.7883984317887,"TPhP 50 µM","Flame Retardant","Other|unknown",0,0
"JU3134","Triphenyl phosphate_6.25",11.9155058420901,0.633238813957901,25.1791821639183,50.9916031417946,-49.7251255138788,"TPhP 6.25 µM","Flame Retardant","Other|unknown",0,0
"JU3134","Zinc dichloride",-0.412930179813812,-0.410868990416501,18.8228656570518,37.2348623236871,-38.0566003045201,"Zinc","Metal","Other|unknown",0,0
"JU3135","2_4-D",-0.420105957360921,0.297240680893414,34.3048980040383,68.90703668897,-68.3125553271832,"2,4-D","Herbicide","Other|unknown",0,0
"JU3135","Aldicarb",-91.4444998970194,-5.48069534679786,66.8955110996989,128.3103268526,-139.271717546196,"Aldicarb","Insecticide","AChE inhibition",0,0
"JU3135","Arsenic trioxide",-7.73365972838952,1.51754432587174,37.8236976208408,77.1649395675533,-74.1298509158098,"Arsenic","Metal","Redox disruption",0,0
"JU3135","Atrazine",-13.5945730359392,-0.449564132208347,30.1418764523697,59.8341887725311,-60.7333170369478,"Atrazine","Herbicide","Redox disruption",0,0
"JU3135","Cadmium dichloride",-30.085404282833,0.59012551367972,40.8316675374654,82.2534605886105,-81.0732095612511,"Cadmium","Metal","Redox disruption",0,0
"JU3135","Carbaryl",-20.4925725580655,-0.021581494171306,41.3518761645487,82.6821708349261,-82.7253338232687,"Carbaryl","Insecticide","AChE inhibition",0,0
"JU3135","Carboxin",-44.0128599864918,-2.34575223270257,47.4918357609118,92.637919289121,-97.3294237545261,"Carboxin","Fungicide","Redox disruption",0,0
"JU3135","Chlorothalonil",-14.3661712045109,-0.192007455920102,23.6397289158149,47.0874503757096,-47.4714652875498,"Chlorothalonil","Fungicide","Redox disruption",0,0
"JU3135","Copper chloride",7.56921614419544,1.56509946618643,42.9320597169338,87.429218900054,-84.2990199676812,"Copper","Metal","Redox disruption",0,0
"JU3135","Lead nitrate",12.7902618437395,0.278492362231999,19.8697371921976,40.0179667466272,-39.4609820221632,"Lead","Metal","Redox disruption",0,0
"JU3135","Malathion",-38.463763622323,-0.961847239793944,41.5336178680084,82.1053884962229,-84.0290829758108,"Malathion","Insecticide","AChE inhibition",0,0
"JU3135","Mancozeb",17.1192317740111,2.10751094136049,20.0326672994109,42.1728455401823,-37.9578236574613,"Mancozeb","Fungicide","AChE inhibition",0,0
"JU3135","Methyl mercury",62.0868311450876,4.84256965590387,70.0528674962311,144.948304648366,-135.263165336558,"Mercury","Metal","Redox disruption",0,0
"JU3135","Nickel dichloride",4.07983261578413,4.08997990215324,64.5529867163247,133.195953334803,-125.015993530496,"Nickel","Metal","Other|unknown",0,0
"JU3135","Paraquat_250",-2.12300325350731,3.5612305407088,28.823154147461,61.2075388356309,-54.0850777542133,"Paraquat 250 µM","Herbicide","Redox disruption",0,0
"JU3135","Propoxur",-10.0854433128338,0.0163981092352304,18.4590721593118,36.9345424278589,-36.9017462093885,"Propoxur","Insecticide","AChE inhibition",0,0
"JU3135","Pyraclostrobin",18.6277452246835,2.87245923634161,29.7244082551688,62.3212757466792,-56.576357273996,"Pyraclostrobin","Fungicide","Redox disruption",0,0
"JU3135","Silver nitrate_250",14.9973113397409,4.762872938844,30.9542099501434,66.6712928391308,-57.1455469614428,"Silver 250 µM","Metal","Other|unknown",0,0
"JU3135","Silver nitrate_7.8",-4.73344911211738,0.300727690818528,18.0204279621692,36.3415836151568,-35.7401282335198,"Silver 7.8 µM","Metal","Other|unknown",0,0
"JU3135","Triphenyl phosphate_50",-7.42943182379222,0.953639911324413,37.8710191715565,76.6956782544375,-74.7883984317887,"TPhP 50 µM","Flame Retardant","Other|unknown",0,0
"JU3135","Triphenyl phosphate_6.25",-1.84798369872798,0.633238813957901,25.1791821639183,50.9916031417946,-49.7251255138788,"TPhP 6.25 µM","Flame Retardant","Other|unknown",0,0
"JU3135","Zinc dichloride",2.67125865387289,-0.410868990416501,18.8228656570518,37.2348623236871,-38.0566003045201,"Zinc","Metal","Other|unknown",0,0
"JU3137","2_4-D",20.2899274526316,0.297240680893414,34.3048980040383,68.90703668897,-68.3125553271832,"2,4-D","Herbicide","Other|unknown",0,0
"JU3137","Aldicarb",41.2806394966834,-5.48069534679786,66.8955110996989,128.3103268526,-139.271717546196,"Aldicarb","Insecticide","AChE inhibition",0,0
"JU3137","Arsenic trioxide",7.31445782125658,1.51754432587174,37.8236976208408,77.1649395675533,-74.1298509158098,"Arsenic","Metal","Redox disruption",0,0
"JU3137","Atrazine",1.32301899240348,-0.449564132208347,30.1418764523697,59.8341887725311,-60.7333170369478,"Atrazine","Herbicide","Redox disruption",0,0
"JU3137","Cadmium dichloride",34.7961770585925,0.59012551367972,40.8316675374654,82.2534605886105,-81.0732095612511,"Cadmium","Metal","Redox disruption",0,0
"JU3137","Carbaryl",49.5347523808559,-0.021581494171306,41.3518761645487,82.6821708349261,-82.7253338232687,"Carbaryl","Insecticide","AChE inhibition",0,0
"JU3137","Carboxin",-0.861231756254237,-2.34575223270257,47.4918357609118,92.637919289121,-97.3294237545261,"Carboxin","Fungicide","Redox disruption",0,0
"JU3137","Chlorfenapyr",-32.9510504275779,-3.23816143792962,57.5317008232735,111.825240208617,-118.301563084477,"Chlorfenapyr","Insecticide","Redox disruption",0,0
"JU3137","Chlorothalonil",43.3189145368786,-0.192007455920102,23.6397289158149,47.0874503757096,-47.4714652875498,"Chlorothalonil","Fungicide","Redox disruption",0,0
"JU3137","Chlorpyrifos",48.3439754410389,3.23510414151989,31.316415820647,65.867935782814,-59.3977274997742,"Chlorpyrifos","Insecticide","AChE inhibition",0,0
"JU3137","Copper chloride",55.015949850991,1.56509946618643,42.9320597169338,87.429218900054,-84.2990199676812,"Copper","Metal","Redox disruption",0,0
"JU3137","Lead nitrate",34.8070599991613,0.278492362231999,19.8697371921976,40.0179667466272,-39.4609820221632,"Lead","Metal","Redox disruption",0,0
"JU3137","Malathion",29.1765001513788,-0.961847239793944,41.5336178680084,82.1053884962229,-84.0290829758108,"Malathion","Insecticide","AChE inhibition",0,0
"JU3137","Mancozeb",0.622430202927151,2.10751094136049,20.0326672994109,42.1728455401823,-37.9578236574613,"Mancozeb","Fungicide","AChE inhibition",0,0
"JU3137","Methyl mercury",10.3123405169004,4.84256965590387,70.0528674962311,144.948304648366,-135.263165336558,"Mercury","Metal","Redox disruption",0,0
"JU3137","Nickel dichloride",26.5643611125327,4.08997990215324,64.5529867163247,133.195953334803,-125.015993530496,"Nickel","Metal","Other|unknown",0,0
"JU3137","Paraquat_250",34.7194894205935,3.5612305407088,28.823154147461,61.2075388356309,-54.0850777542133,"Paraquat 250 µM","Herbicide","Redox disruption",0,0
"JU3137","Paraquat_62.5",-14.1136983405671,-4.40347057181204,40.8606407299267,77.3178108880414,-86.1247520316655,"Paraquat 62.5 µM","Herbicide","Redox disruption",0,0
"JU3137","Propoxur",10.8787023244038,0.0163981092352304,18.4590721593118,36.9345424278589,-36.9017462093885,"Propoxur","Insecticide","AChE inhibition",0,0
"JU3137","Pyraclostrobin",49.4086699180314,2.87245923634161,29.7244082551688,62.3212757466792,-56.576357273996,"Pyraclostrobin","Fungicide","Redox disruption",0,0
"JU3137","Silver nitrate_250",43.029336757318,4.762872938844,30.9542099501434,66.6712928391308,-57.1455469614428,"Silver 250 µM","Metal","Other|unknown",0,0
"JU3137","Silver nitrate_7.8",14.0006421755558,0.300727690818528,18.0204279621692,36.3415836151568,-35.7401282335198,"Silver 7.8 µM","Metal","Other|unknown",0,0
"JU3137","Triphenyl phosphate_50",46.2159774813131,0.953639911324413,37.8710191715565,76.6956782544375,-74.7883984317887,"TPhP 50 µM","Flame Retardant","Other|unknown",0,0
"JU3137","Triphenyl phosphate_6.25",14.3108699493807,0.633238813957901,25.1791821639183,50.9916031417946,-49.7251255138788,"TPhP 6.25 µM","Flame Retardant","Other|unknown",0,0
"JU3137","Zinc dichloride",16.9288087964227,-0.410868990416501,18.8228656570518,37.2348623236871,-38.0566003045201,"Zinc","Metal","Other|unknown",0,0
"JU3141","2_4-D",20.8163285077489,0.297240680893414,34.3048980040383,68.90703668897,-68.3125553271832,"2,4-D","Herbicide","Other|unknown",0,0
"JU3141","Aldicarb",-17.8601888552015,-5.48069534679786,66.8955110996989,128.3103268526,-139.271717546196,"Aldicarb","Insecticide","AChE inhibition",0,0
"JU3141","Arsenic trioxide",-3.14734865924562,1.51754432587174,37.8236976208408,77.1649395675533,-74.1298509158098,"Arsenic","Metal","Redox disruption",0,0
"JU3141","Atrazine",-55.5244250962958,-0.449564132208347,30.1418764523697,59.8341887725311,-60.7333170369478,"Atrazine","Herbicide","Redox disruption",0,0
"JU3141","Cadmium dichloride",6.54863847533401,0.59012551367972,40.8316675374654,82.2534605886105,-81.0732095612511,"Cadmium","Metal","Redox disruption",0,0
"JU3141","Carbaryl",-33.1488263656221,-0.021581494171306,41.3518761645487,82.6821708349261,-82.7253338232687,"Carbaryl","Insecticide","AChE inhibition",0,0
"JU3141","Carboxin",-78.9542964573468,-2.34575223270257,47.4918357609118,92.637919289121,-97.3294237545261,"Carboxin","Fungicide","Redox disruption",0,0
"JU3141","Chlorfenapyr",-22.2910275385203,-3.23816143792962,57.5317008232735,111.825240208617,-118.301563084477,"Chlorfenapyr","Insecticide","Redox disruption",0,0
"JU3141","Chlorothalonil",-30.0947636851463,-0.192007455920102,23.6397289158149,47.0874503757096,-47.4714652875498,"Chlorothalonil","Fungicide","Redox disruption",0,0
"JU3141","Chlorpyrifos",-15.7188309032191,3.23510414151989,31.316415820647,65.867935782814,-59.3977274997742,"Chlorpyrifos","Insecticide","AChE inhibition",0,0
"JU3141","Copper chloride",1.88184482375824,1.56509946618643,42.9320597169338,87.429218900054,-84.2990199676812,"Copper","Metal","Redox disruption",0,0
"JU3141","Lead nitrate",8.60007584453598,0.278492362231999,19.8697371921976,40.0179667466272,-39.4609820221632,"Lead","Metal","Redox disruption",0,0
"JU3141","Malathion",-54.0141647559972,-0.961847239793944,41.5336178680084,82.1053884962229,-84.0290829758108,"Malathion","Insecticide","AChE inhibition",0,0
"JU3141","Mancozeb",8.5116636887473,2.10751094136049,20.0326672994109,42.1728455401823,-37.9578236574613,"Mancozeb","Fungicide","AChE inhibition",0,0
"JU3141","Methomyl",28.5324015789487,9.30914167690872,49.9834762191599,109.276094115229,-90.6578107614111,"Methomyl","Insecticide","AChE inhibition",0,0
"JU3141","Methyl mercury",-8.63963161992416,4.84256965590387,70.0528674962311,144.948304648366,-135.263165336558,"Mercury","Metal","Redox disruption",0,0
"JU3141","Nickel dichloride",14.2914462428544,4.08997990215324,64.5529867163247,133.195953334803,-125.015993530496,"Nickel","Metal","Other|unknown",0,0
"JU3141","Paraquat_250",11.8299837633718,3.5612305407088,28.823154147461,61.2075388356309,-54.0850777542133,"Paraquat 250 µM","Herbicide","Redox disruption",0,0
"JU3141","Propoxur",-16.7547470569659,0.0163981092352304,18.4590721593118,36.9345424278589,-36.9017462093885,"Propoxur","Insecticide","AChE inhibition",0,0
"JU3141","Pyraclostrobin",16.2593132198084,2.87245923634161,29.7244082551688,62.3212757466792,-56.576357273996,"Pyraclostrobin","Fungicide","Redox disruption",0,0
"JU3141","Silver nitrate_250",0.965818032207983,4.762872938844,30.9542099501434,66.6712928391308,-57.1455469614428,"Silver 250 µM","Metal","Other|unknown",0,0
"JU3141","Silver nitrate_7.8",5.84712808139751,0.300727690818528,18.0204279621692,36.3415836151568,-35.7401282335198,"Silver 7.8 µM","Metal","Other|unknown",0,0
"JU3141","Triphenyl phosphate_50",42.1363785565236,0.953639911324413,37.8710191715565,76.6956782544375,-74.7883984317887,"TPhP 50 µM","Flame Retardant","Other|unknown",0,0
"JU3144","2_4-D",-22.0233593473539,0.297240680893414,34.3048980040383,68.90703668897,-68.3125553271832,"2,4-D","Herbicide","Other|unknown",0,0
"JU3144","Aldicarb",-53.7484546993616,-5.48069534679786,66.8955110996989,128.3103268526,-139.271717546196,"Aldicarb","Insecticide","AChE inhibition",0,0
"JU3144","Arsenic trioxide",-34.8658859205223,1.51754432587174,37.8236976208408,77.1649395675533,-74.1298509158098,"Arsenic","Metal","Redox disruption",0,0
"JU3144","Atrazine",-113.129394746961,-0.449564132208347,30.1418764523697,59.8341887725311,-60.7333170369478,"Atrazine","Herbicide","Redox disruption",0,1
"JU3144","Cadmium dichloride",-53.4836150804074,0.59012551367972,40.8316675374654,82.2534605886105,-81.0732095612511,"Cadmium","Metal","Redox disruption",0,0
"JU3144","Carbaryl",-7.10848433782154,-0.021581494171306,41.3518761645487,82.6821708349261,-82.7253338232687,"Carbaryl","Insecticide","AChE inhibition",0,0
"JU3144","Chlorothalonil",-4.79793586302474,-0.192007455920102,23.6397289158149,47.0874503757096,-47.4714652875498,"Chlorothalonil","Fungicide","Redox disruption",0,0
"JU3144","Chlorpyrifos",-15.361048368076,3.23510414151989,31.316415820647,65.867935782814,-59.3977274997742,"Chlorpyrifos","Insecticide","AChE inhibition",0,0
"JU3144","Copper chloride",-53.2146157906405,1.56509946618643,42.9320597169338,87.429218900054,-84.2990199676812,"Copper","Metal","Redox disruption",0,0
"JU3144","Lead nitrate",-23.3767533957179,0.278492362231999,19.8697371921976,40.0179667466272,-39.4609820221632,"Lead","Metal","Redox disruption",0,0
"JU3144","Malathion",-38.4917431394723,-0.961847239793944,41.5336178680084,82.1053884962229,-84.0290829758108,"Malathion","Insecticide","AChE inhibition",0,0
"JU3144","Mancozeb",-29.7733294287916,2.10751094136049,20.0326672994109,42.1728455401823,-37.9578236574613,"Mancozeb","Fungicide","AChE inhibition",0,0
"JU3144","Methomyl",17.2553749347509,9.30914167690872,49.9834762191599,109.276094115229,-90.6578107614111,"Methomyl","Insecticide","AChE inhibition",0,0
"JU3144","Methyl mercury",-35.6251370520649,4.84256965590387,70.0528674962311,144.948304648366,-135.263165336558,"Mercury","Metal","Redox disruption",0,0
"JU3144","Nickel dichloride",-145.16933298764,4.08997990215324,64.5529867163247,133.195953334803,-125.015993530496,"Nickel","Metal","Other|unknown",0,1
"JU3144","Paraquat_250",-7.31073199664859,3.5612305407088,28.823154147461,61.2075388356309,-54.0850777542133,"Paraquat 250 µM","Herbicide","Redox disruption",0,0
"JU3144","Paraquat_62.5",18.5103553545013,-4.40347057181204,40.8606407299267,77.3178108880414,-86.1247520316655,"Paraquat 62.5 µM","Herbicide","Redox disruption",0,0
"JU3144","Propoxur",-7.72298470301837,0.0163981092352304,18.4590721593118,36.9345424278589,-36.9017462093885,"Propoxur","Insecticide","AChE inhibition",0,0
"JU3144","Pyraclostrobin",-40.1809693219322,2.87245923634161,29.7244082551688,62.3212757466792,-56.576357273996,"Pyraclostrobin","Fungicide","Redox disruption",0,0
"JU3144","Silver nitrate_250",-25.0868227779993,4.762872938844,30.9542099501434,66.6712928391308,-57.1455469614428,"Silver 250 µM","Metal","Other|unknown",0,0
"JU3144","Silver nitrate_7.8",-17.9375360433376,0.300727690818528,18.0204279621692,36.3415836151568,-35.7401282335198,"Silver 7.8 µM","Metal","Other|unknown",0,0
"JU3144","Triphenyl phosphate_50",-36.0426628574035,0.953639911324413,37.8710191715565,76.6956782544375,-74.7883984317887,"TPhP 50 µM","Flame Retardant","Other|unknown",0,0
"JU3144","Triphenyl phosphate_6.25",-40.2844907613031,0.633238813957901,25.1791821639183,50.9916031417946,-49.7251255138788,"TPhP 6.25 µM","Flame Retardant","Other|unknown",0,0
"JU3144","Zinc dichloride",-51.390484609759,-0.410868990416501,18.8228656570518,37.2348623236871,-38.0566003045201,"Zinc","Metal","Other|unknown",0,1
"JU3224","2_4-D",24.3495086503335,0.297240680893414,34.3048980040383,68.90703668897,-68.3125553271832,"2,4-D","Herbicide","Other|unknown",0,0
"JU3224","Aldicarb",-27.4337238162042,-5.48069534679786,66.8955110996989,128.3103268526,-139.271717546196,"Aldicarb","Insecticide","AChE inhibition",0,0
"JU3224","Atrazine",18.695728553642,-0.449564132208347,30.1418764523697,59.8341887725311,-60.7333170369478,"Atrazine","Herbicide","Redox disruption",0,0
"JU3224","Cadmium dichloride",15.5877236401347,0.59012551367972,40.8316675374654,82.2534605886105,-81.0732095612511,"Cadmium","Metal","Redox disruption",0,0
"JU3224","Carbaryl",10.2627294230607,-0.021581494171306,41.3518761645487,82.6821708349261,-82.7253338232687,"Carbaryl","Insecticide","AChE inhibition",0,0
"JU3224","Carboxin",65.2987485587016,-2.34575223270257,47.4918357609118,92.637919289121,-97.3294237545261,"Carboxin","Fungicide","Redox disruption",0,0
"JU3224","Chlorothalonil",-18.070629782542,-0.192007455920102,23.6397289158149,47.0874503757096,-47.4714652875498,"Chlorothalonil","Fungicide","Redox disruption",0,0
"JU3224","Chlorpyrifos",15.6859057993506,3.23510414151989,31.316415820647,65.867935782814,-59.3977274997742,"Chlorpyrifos","Insecticide","AChE inhibition",0,0
"JU3224","Copper chloride",6.80931054434836,1.56509946618643,42.9320597169338,87.429218900054,-84.2990199676812,"Copper","Metal","Redox disruption",0,0
"JU3224","Lead nitrate",-12.3146957539267,0.278492362231999,19.8697371921976,40.0179667466272,-39.4609820221632,"Lead","Metal","Redox disruption",0,0
"JU3224","Malathion",-8.61229734959414,-0.961847239793944,41.5336178680084,82.1053884962229,-84.0290829758108,"Malathion","Insecticide","AChE inhibition",0,0
"JU3224","Mancozeb",14.1663777799253,2.10751094136049,20.0326672994109,42.1728455401823,-37.9578236574613,"Mancozeb","Fungicide","AChE inhibition",0,0
"JU3224","Methyl mercury",66.7683095163202,4.84256965590387,70.0528674962311,144.948304648366,-135.263165336558,"Mercury","Metal","Redox disruption",0,0
"JU3224","Nickel dichloride",20.200277596861,4.08997990215324,64.5529867163247,133.195953334803,-125.015993530496,"Nickel","Metal","Other|unknown",0,0
"JU3224","Paraquat_250",3.72312539252133,3.5612305407088,28.823154147461,61.2075388356309,-54.0850777542133,"Paraquat 250 µM","Herbicide","Redox disruption",0,0
"JU3224","Paraquat_62.5",50.8746715347263,-4.40347057181204,40.8606407299267,77.3178108880414,-86.1247520316655,"Paraquat 62.5 µM","Herbicide","Redox disruption",0,0
"JU3224","Propoxur",36.7617977648197,0.0163981092352304,18.4590721593118,36.9345424278589,-36.9017462093885,"Propoxur","Insecticide","AChE inhibition",0,0
"JU3224","Pyraclostrobin",-2.16414110334729,2.87245923634161,29.7244082551688,62.3212757466792,-56.576357273996,"Pyraclostrobin","Fungicide","Redox disruption",0,0
"JU3224","Silver nitrate_250",-4.73564236384276,4.762872938844,30.9542099501434,66.6712928391308,-57.1455469614428,"Silver 250 µM","Metal","Other|unknown",0,0
"JU3224","Silver nitrate_7.8",3.04304682189808,0.300727690818528,18.0204279621692,36.3415836151568,-35.7401282335198,"Silver 7.8 µM","Metal","Other|unknown",0,0
